Year,Date,Platform,Region,Department,Municipality,Transport,Category,Products,Quantity,Discount,Sale,Profit
Eighteen,2/01/2018,MercadoLibre,Amazonia,Vaupes,Yavarate,Envia-3,Industrial,Printers,1,0,937800,412632
Eighteen,3/01/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Home appliances,Refrigerators,2,0.2,1915136,102952.8
Eighteen,3/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Industrial,Drones,3,0,1111880,103207.6
Eighteen,3/01/2018,MercadoLibre,Caribe,Atlantico,Galapa,Envia+4,Home appliances,Refrigerators,2,0.3,1568232,-34423.44
Eighteen,3/01/2018,MercadoLibre,Caribe,Atlantico,Galapa,Envia+4,Trade Equipment,Thermal paper,3,0.2,34944,11356.8
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Trade Equipment,Lights,5,0.2,37680,-3532.5
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Home appliances,Refrigerators,6,0.3,724500,0
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Home appliances,Spare Parts,6,0.6,127104,-34953.6
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Trade Equipment,Merchandise Labeling,3,0.2,259104,-22671.6
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Trade Equipment,Merchandise Labeling,3,0.2,274704,17169
Eighteen,3/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Home appliances,Washing machines,3,0.3,753018,-43029.6
Eighteen,4/01/2018,MercadoLibre,Andina,Antioquia,Caldas,Servientrega+3,Trade Equipment,Dust Extractors,2,0,59200,29600
Eighteen,4/01/2018,MercadoLibre,Andina,Antioquia,Sabanalarga,Envia+4,Trade Equipment,Shelving,3,0.2,8640,3024
Eighteen,4/01/2018,MercadoLibre,Andina,Huila,Altamira,Envia+4,Trade Equipment,Merchandise Labeling,4,0,133920,5356.8
Eighteen,4/01/2018,MercadoLibre,Caribe,Bolivar,El Carmen de Bolivar,Envia+4,Trade Equipment,Shelving,5,0.7,128400,-42800
Eighteen,6/01/2018,MercadoLibre,Caribe,Atlantico,Soledad,Envia+4,Trade Equipment,Shelving,3,0.8,3456,-2678.4
Eighteen,6/01/2018,MercadoLibre,Pacifica,Choco,Atrato,Envia+4,Trade Equipment,Strip Printer,6,0,578400,167736
Eighteen,6/01/2018,MercadoLibre,Andina,Caldas,Riosucio,Envia+4,Home appliances,Spare Parts,6,0,44400,18204
Eighteen,6/01/2018,MercadoLibre,Andina,Caldas,Riosucio,Envia+4,Industrial,Drones,7,0,1763860,458603.6
Eighteen,6/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Trade Equipment,Shelving,6,0.2,372288,120993.6
Eighteen,6/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Trade Equipment,Payment Machines,5,0.1,131040,24752
Eighteen,7/01/2018,MercadoLibre,Orinoquia,Meta,Puerto Rico,Envia+4,Trade Equipment,Shelving,7,0.8,5544,-4851
Eighteen,7/01/2018,MercadoLibre,Caribe,Bolivar,El Guamo,Envia+4,Industrial,Drones,2,0.2,1151840,143980
Eighteen,7/01/2018,MercadoLibre,Andina,Quindio,Filandia,Envia+4,Trade Equipment,Shelving,7,0.7,8316,-3465
Eighteen,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Trade Equipment,Dust Extractors,3,0.2,35088,11842.2
