Anyo,Fecha,Plataforma,Region,Departamento,Municipio,Transportadora,Categoria,Productos,Cantidad,Descuento,Venta,Profit
Dieciocho,2/01/2018,MercadoLibre,Amazonia,Vaupes,Yavarate,Envia-3,Industrial,Impresoras,1,0,937800,412632
Dieciocho,3/01/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Servientrega+3,Electrodomesticos,Neveras,2,0.2,1915136,102952.8
Dieciocho,3/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Industrial,Drones,3,0,1111880,103207.6
Dieciocho,3/01/2018,MercadoLibre,Caribe,Atlantico,Galapa,Envia+4,Electrodomesticos,Neveras,2,0.3,1568232,-34423.44
Dieciocho,3/01/2018,MercadoLibre,Caribe,Atlantico,Galapa,Envia+4,Equipo para Comercio,Papel Termico,3,0.2,34944,11356.8
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Equipo para Comercio,Luces,5,0.2,37680,-3532.5
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Electrodomesticos,Neveras,6,0.3,724500,0
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Electrodomesticos,Repuestos,6,0.6,127104,-34953.6
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Guamal,Envia+4,Equipo para Comercio,Etiquetado Mercancia,3,0.2,259104,-22671.6
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Equipo para Comercio,Etiquetado Mercancia,3,0.2,274704,17169
Dieciocho,3/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia+4,Electrodomesticos,Lavadoras,3,0.3,753018,-43029.6
Dieciocho,4/01/2018,MercadoLibre,Andina,Antioquia,Caldas,Servientrega+3,Equipo para Comercio,Extractores de Polvo,2,0,59200,29600
Dieciocho,4/01/2018,MercadoLibre,Andina,Antioquia,Sabanalarga,Envia+4,Equipo para Comercio,Estanteria,3,0.2,8640,3024
Dieciocho,4/01/2018,MercadoLibre,Andina,Huila,Altamira,Envia+4,Equipo para Comercio,Etiquetado Mercancia,4,0,133920,5356.8
Dieciocho,4/01/2018,MercadoLibre,Caribe,Bolivar,El Carmen de Bolivar,Envia+4,Equipo para Comercio,Estanteria,5,0.7,128400,-42800
Dieciocho,6/01/2018,MercadoLibre,Caribe,Atlantico,Soledad,Envia+4,Equipo para Comercio,Estanteria,3,0.8,3456,-2678.4
Dieciocho,6/01/2018,MercadoLibre,Pacifica,Choco,Atrato,Envia+4,Equipo para Comercio,Impresora Tirillas,6,0,578400,167736
Dieciocho,6/01/2018,MercadoLibre,Andina,Caldas,Riosucio,Envia+4,Electrodomesticos,Repuestos,6,0,44400,18204
Dieciocho,6/01/2018,MercadoLibre,Andina,Caldas,Riosucio,Envia+4,Industrial,Drones,7,0,1763860,458603.6
Dieciocho,6/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Estanteria,6,0.2,372288,120993.6
Dieciocho,6/01/2018,MercadoLibre,Pacifica,Cauca,Popayan,Envia+4,Equipo para Comercio,Maquinas de Cobro ,5,0.1,131040,24752
Dieciocho,7/01/2018,MercadoLibre,Orinoquia,Meta,Puerto Rico,Envia+4,Equipo para Comercio,Estanteria,7,0.8,5544,-4851
Dieciocho,7/01/2018,MercadoLibre,Caribe,Bolivar,El Guamo,Envia+4,Industrial,Drones,2,0.2,1151840,143980
Dieciocho,7/01/2018,MercadoLibre,Andina,Quindio,Filandia,Envia+4,Equipo para Comercio,Estanteria,7,0.7,8316,-3465
Dieciocho,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Extractores de Polvo,3,0.2,35088,11842.2
Dieciocho,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Electrodomesticos,Repuestos,4,0.2,88256,24270.4
Dieciocho,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Maquinas de Cobro ,1,0.2,125840,20449
Dieciocho,8/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Papel Termico,2,0.2,156608,58728
Dieciocho,8/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia-3,Equipo para Comercio,Estanteria,3,0.7,13140,-5037
Dieciocho,8/01/2018,MercadoLibre,Andina,Santander,Bucaramanga,Envia+4,Equipo para Comercio,Luces,2,0.2,11360,3834
Dieciocho,9/01/2018,MercadoLibre,Andina,Antioquia,Caldas,Servientrega+3,Equipo para Comercio,Impresora Tirillas,3,0,107880,31285.2
Dieciocho,9/01/2018,MercadoLibre,Caribe,Bolivar,Magangue,Envia-3,Equipo para Comercio,Estanteria,5,0.7,19620,-6867
Dieciocho,9/01/2018,MercadoLibre,Orinoquia,Meta,Villavicencio,Envia-3,Equipo para Comercio,Papel Termico,6,0.2,62208,21772.8
Dieciocho,9/01/2018,MercadoLibre,Amazonia,Putumayo,Mocoa,Envia+4,Equipo para Comercio,Estanteria,2,0,155120,71355.2
Dieciocho,9/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Industrial,Impresoras,3,0,714000,114240
Dieciocho,10/01/2018,MercadoLibre,Caribe,Magdalena,Santa Marta,Envia+4,Equipo para Comercio,Luces,1,0,9420,0
Dieciocho,11/01/2018,MercadoLibre,Amazonia,Caqueta,Cartagena del Chaira,Envia+4,Equipo para Comercio,Impresora Tirillas,3,0.2,86352,8635.2
Dieciocho,11/01/2018,MercadoLibre,Amazonia,Caqueta,Cartagena del Chaira,Envia+4,Industrial,Drones,4,0.2,3967936,495992
Dieciocho,11/01/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Equipo para Comercio,Etiquetado Mercancia,5,0.2,887840,-18866.6
Dieciocho,11/01/2018,MercadoLibre,Andina,Quindio,Armenia,Envia+4,Industrial,Drones,3,0.2,311952,109183.2
Dieciocho,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Luces,5,0.2,15040,2820
Dieciocho,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Impresora Tirillas,3,0.2,20544,1797.6
Dieciocho,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Equipo para Comercio,Extractores de Polvo,12,0.2,95616,31075.2
Dieciocho,11/01/2018,MercadoLibre,Andina,Norte de Santander,Cucuta,Envia+4,Industrial,Drones,9,0.2,1957680,220239
Dieciocho,11/01/2018,MercadoLibre,Caribe,Atlantico,Barranquilla,Envia+4,Equipo para Comercio,Papel Termico,3,0.2,31392,10202.4
Dieciocho,11/01/2018,MercadoLibre,Caribe,Cordoba,Monteria,Envia+4,Equipo para Comercio,Etiquetado Mercancia,2,0,139040,38931.2
Dieciocho,11/01/2018,MercadoLibre,Caribe,Cordoba,Monteria,Envia+4,Equipo para Comercio,Impresora Tirillas,3,0,11280,3271.2
Dieciocho,11/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Extractores de Polvo,3,0,88800,44400
Dieciocho,11/01/2018,MercadoLibre,Andina,Antioquia,Medellin,Envia+4,Equipo para Comercio,Papel Termico,5,0,42800,19260
Dieciocho,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Maquinas de Cobro ,3,0,1067880,309685.2
Dieciocho,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Equipo para Comercio,Papel Termico,3,0,335880,164581.2
Dieciocho,11/01/2018,MercadoLibre,Andina,Bogota,Bogota DC,Envia+4,Electrodomesticos,Repuestos,6,0,63360,19641.6
Dieciocho,11/01/2018,MercadoLibre,Pacifica,Choco,Bagado,Envia+4,Equipo para Comercio,Maquinas de Cobro ,2,0,152240,44149.6
Dieciocho,11/01/2018,MercadoLibre,Andina,Boyaca,Raquira,Envia-3,Electrodomesticos,Repuestos,2,0.2,137408,32634.4
Dieciocho,11/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Equipo para Comercio,Estanteria,8,0.2,4044544,1365033.6
Dieciocho,11/01/2018,MercadoLibre,Pacifica,Valle del Cauca,Cali,Envia-3,Equipo para Comercio,Estanteria,2,0.2,4067168,1525188
Dieciocho,12/01/2018,MercadoLibre,Amazonia,Vaupes,Taraira,Envia-3,Electrodomesticos,Neveras,8,0,5615680,1347763.2
Dieciocho,12/01/2018,MercadoLibre,Amazonia,Vaupes,Taraira,Envia-3,Equipo para Comercio,Impresora Tirillas,4,0,93280,25185.6
Dieciocho,12/01/2018,MercadoLibre,Andina,Antioquia,Bello,Envia+4,Electrodomesticos,Repuestos,3,0,116400,57036
Dieciocho,12/01/2018,MercadoLibre,Caribe,Bolivar,Cartagena,Envia+4,Industrial,Drones,4,0.2,191936,19193.6
Dieciocho,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Industrial,Proyectores,2,0.4,1319976,219996
Dieciocho,12/01/2018,MercadoLibre,Andina,Boyaca,Sogamoso,Servientrega+3,Electrodomesticos,Repuestos,2,0.2,16256,2844.8
